DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
210912447,08/03/2021 12:00:00 AM,08/02/2021 12:00:00 AM,1100,9,Van Nuys,985,2,662,"BUNCO, GRAND THEFT",0344 0701 1822,23,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662.0,,,,14400    VALLEY VISTA                 BL,,34.15,-118.4424
200216365,10/20/2020 12:00:00 AM,10/20/2020 12:00:00 AM,515,2,Rampart,266,2,624,BATTERY - SIMPLE ASSAULT,0913 1820 2002 0416 0446 0429,24,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 S  UNION                        AV,,34.0531,-118.2738
211504247,01/06/2021 12:00:00 AM,01/05/2021 12:00:00 AM,2200,15,N Hollywood,1505,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,27,F,H,504.0,OTHER RESIDENCE,,,IC,Invest Cont,745.0,,,,7200    LANKERSHIM                   BL,,34.2012,-118.3878
201707543,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,1830,17,Devonshire,1747,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),2004 1606 0344,41,F,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,10400    RUFFNER                      AV,,34.2598,-118.4969
242109606,06/07/2024 12:00:00 AM,06/07/2024 12:00:00 AM,2100,21,Topanga,2189,1,330,BURGLARY FROM VEHICLE,1307 0344,33,F,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,19700    VENTURA                      BL,,34.1648,-118.5771
240707112,03/13/2024 12:00:00 AM,03/08/2024 12:00:00 AM,1903,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822 0104 0325,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,8400    BEVERLY                      BL,,34.0761,-118.3732
231307703,03/14/2023 12:00:00 AM,03/13/2023 12:00:00 AM,500,13,Newton,1317,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1400    HOOPER                       AV,,34.0265,-118.243
211810181,05/09/2021 12:00:00 AM,05/09/2021 12:00:00 AM,1530,18,Southeast,1804,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2032 0344,52,F,B,101.0,STREET,,,IC,Invest Cont,440.0,,,,89TH                         ST,CENTRAL,33.9583,-118.2605
222018126,12/07/2022 12:00:00 AM,12/07/2022 12:00:00 AM,2003,20,Olympic,2024,2,624,BATTERY - SIMPLE ASSAULT,1822 0448 0202 0216 0917,30,F,W,406.0,OTHER STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3700    WILSHIRE                     BL,,34.0636,-118.3047
230415247,12/10/2023 12:00:00 AM,12/10/2023 12:00:00 AM,2130,4,Hollenbeck,408,2,624,BATTERY - SIMPLE ASSAULT,0913 0400 0416,24,M,H,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,3800    ROSEMEAD                     AV,,34.089,-118.1771
211219257,09/06/2021 12:00:00 AM,09/06/2021 12:00:00 AM,630,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416,55,M,B,108.0,PARKING LOT,304.0,CLUB/BAT,IC,Invest Cont,230.0,,,,MANCHESTER                   AV,BROADWAY,33.9601,-118.2783
221005510,02/10/2022 12:00:00 AM,02/09/2022 12:00:00 AM,1800,10,West Valley,1037,1,310,BURGLARY,1822 1602 1414,0,M,W,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,310.0,,,,17300    VICTORY                      BL,,34.1866,-118.5098
232019558,12/13/2023 12:00:00 AM,12/13/2023 12:00:00 AM,655,20,Olympic,2041,1,330,BURGLARY FROM VEHICLE,1221 1822 1307 1609 0344 0352,53,F,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330.0,,,,1000    5TH                          AV,,34.0534,-118.3196
240607906,03/27/2024 12:00:00 AM,03/26/2024 12:00:00 AM,2115,6,Hollywood,638,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1501 1822 0344 1300,23,F,C,707.0,GARAGE/CARPORT,,,IC,Invest Cont,420.0,,,,1700 N  WESTERN                      AV,,34.1038,-118.3151
200411695,08/12/2020 12:00:00 AM,08/12/2020 12:00:00 AM,945,4,Hollenbeck,453,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0910 0344,30,F,B,963.0,MTA - GOLD LINE - MARIACHI PLAZA,,,IC,Invest Cont,341.0,,,,1800 E  1ST                          ST,,34.0517,-118.2178
